state_l,state_s,city,metro,rank,workers,industry,url,website,id,leadership,founded,company
California,CA,San Francisco,San Francisco,1,58,Software,skillz,http://skillz.com,70866,Andrew Paradise,2012-01-01,Skillz
Texas,TX,Fort Worth,Dallas,2,85,Energy,envirosolar-power,http://envirosolarpower.com,70871,Abraham Issa,2012-01-01,EnviroSolar Power
California,CA,San Francisco,San Francisco,3,75,Consumer Products & Services,gametime,http://gametime.co,70876,Brad Griffith,2013-01-01,Gametime
California,CA,Costa Mesa,Los Angeles,4,55,Consumer Products & Services,club-pilates-franchise,http://clubpilates.com,70881,Anthony Geisler,2007-01-01,Club Pilates Franchise
California,CA,Los Angeles,Los Angeles,5,10,Food & Beverage,halo-top-creamery,http://halotop.com,70886,Justin Woolverton,2012-01-01,Halo Top Creamery
Ohio,OH,Columbus,"Columbus, OH",6,15,Financial Services,small-business-owners-of-america,http://sbooa.com,42948,James Moore,2011-01-01,Small Business Owners of America
New York,NY,New York City,New York City,7,102,Software,automotivemastermind,http://automotivemastermind.com,70891,Marco Schnabl,2012-01-01,AutomotiveMastermind
California,CA,Palo Alto,San Jose,8,85,Advertising & Marketing,liftoff,http://liftoff.io,68611,Mark Ellis,2012-01-01,Liftoff
California,CA,Los Angeles,Los Angeles,9,150,Energy,greenspire,http://greenspirehome.com,42999,David Murray,2012-01-01,Greenspire
Michigan,MI,Grand Rapids,"Grand Rapids-Wyoming, MI",10,43,Financial Services,formulafolio-investments,http://formulafolios.com,37197,Jason Wenk,2011-01-01,FormulaFolio Investments
New Jersey,NJ,Newark,New York City,11,30,Food & Beverage,single-serve-beverage-distribution,ssbdistribution.com,70896,Shlomo Birnbaum,2012-01-01,Single Serve Beverage Distribution
California,CA,Goleta,"Santa Maria-Santa Barbara, CA",12,23,Logistics & Transportation,shiphawk,shiphawk.com,70901,Jeremy Bodenhamer,2012-01-01,ShipHawk
Florida,FL,Lakewood Ranch,"North Port-Sarasota-Bradenton, FL",13,26,Health,adva-net,adva-net.com,70906,Kenneth Hannigan,2012-01-01,Adva-Net
New York,NY,New York City,New York City,14,28,Advertising & Marketing,dashbid,dashbid.com,70911,Rodger Wells,2010-01-01,DashBid
Massachusetts,MA,Boston,Boston,15,60,Financial Services,forward-financing,forwardfinancing.com,68131,Justin Bakes,2012-01-01,Forward Financing
Florida,FL,Pompano Beach,Miami,16,22,Health,solera-specialty-pharmacy,solerarx.com,70916,Nicholas Saraniti,2012-01-01,Solera Specialty Pharmacy
Illinois,IL,Chicago,Chicago,17,100,Advertising & Marketing,strike-social,http://strikesocial.com,70921,Patrick McKenna,2013-01-01,Strike Social
Illinois,IL,Chicago,Chicago,18,116,Retail,reverbcom,reverb.com,70926,David Kalt,2012-01-01,Reverb.com
Ohio,OH,Medina,Cleveland,19,6,Insurance,excel-impact,http://excelimpact.com,69211,Alex Matseikovich,2013-01-01,Excel Impact
Virginia,VA,Vienna,"Washington, DC",20,10,Government Services,dgc-international,dgci.com,70931,Mustafa Zamani,2010-01-01,DGC International
Georgia,GA,Atlanta,Atlanta,21,14,Logistics & Transportation,shofur,shofur.com,70936,Armir Harris,2013-01-01,Shofur
Illinois,IL,Chicago,Chicago,22,140,Business Products & Services,growthplay,growthplay.com,70941,Dan Weinfurter,2013-01-01,GrowthPlay
California,CA,Visalia,"Visalia-Porterville, CA",23,59,Energy,calcom-solar,calcomsolar.com,42942,Dylan Dupre,2012-01-01,CalCom Solar
Utah,UT,Provo,"Provo-Orem, UT",24,476,Energy,ion-solar,ionsolar.com,69121,Matt Rasmussen,2013-01-01,ION Solar
Florida,FL,St. Petersburg,Tampa,25,49,Media,the-penny-hoarder,thepennyhoarder.com,42966,Kyle Taylor,2010-01-01,The Penny Hoarder
California,CA,Sunnyvale,San Jose,26,174,Media,matterport,http://matterport.com,70946,Bill Brown,2011-01-01,Matterport
Utah,UT,Washington,"St. George, UT",27,102,Energy,legend-solar,legendsolar.com,42963,Jed Alldredge,2011-01-01,Legend Solar
Maine,ME,Brunswick,"Portland-South Portland, ME",28,338,Business Products & Services,savilinx,savilinx.com,70951,Heather Blease,2013-01-01,SaviLinx
Virginia,VA,Woodbridge,"Washington, DC",29,12,Government Services,techanax,techanax.com,70956,Byron Athan,2012-01-01,TechAnax
Texas,TX,Plano,Dallas,30,400,IT Services,spar-information-systems,http://sparinfosys.com,67531,"Nagarjun G, Pankaj Midha",2012-01-01,Spar Information Systems
California,CA,San Diego,San Diego,31,12,Real Estate,big-block-realty,bigblockrealty.com,42960,Sam Khorramian,2012-01-01,Big Block Realty
California,CA,Carlsbad,San Diego,32,69,Business Products & Services,relationedge,relationedge.com,70961,Matthew Stoyka,2013-01-01,RelationEdge
Massachusetts,MA,Boston,Boston,33,32,Business Products & Services,globalization-partners,http://globalization-partners.com,42943,Nicole Sahin,2012-01-01,Globalization Partners
Arizona,AZ,Tempe,Phoenix,34,1069,Retail,carvana,carvana.com,70966,Ernie Garcia,2013-01-01,Carvana
Tennessee,TN,Franklin,Nashville,35,60,Health,axe-wellness,draxe.com,43047,Josh Axe,2009-01-01,Axe Wellness
Virginia,VA,Springfield,"Washington, DC",36,150,Government Services,interactive-government-holdings,interactivegov.com,42980,Mike Sanders,2006-01-01,Interactive Government Holdings
Massachusetts,MA,Boston,Boston,37,250,Human Resources,bay-state-search,baystatesearch.com,70971,Ryan Murphy,2013-01-01,Bay State Search
Virginia,VA,Fairfax,"Washington, DC",38,68,Government Services,enhanced-veterans-solutions,enhancedvets.com,43677,Mark Whitty,2007-01-01,Enhanced Veterans Solutions
Illinois,IL,Naperville,Chicago,39,130,Software,dealer-inspire,dealerinspire.com,70976,Joseph Chura,2012-01-01,Dealer Inspire
Hawaii,HI,Honolulu,"Urban Honolulu, HI",40,98,Government Services,na-alii-consulting-and-sales,na-alii.com,36720,Cariann Ah Loo,2003-01-01,Na Ali'i Consulting and Sales
New Jersey,NJ,West New York,New York City,41,15,Food & Beverage,dyla,http://fortocoffee.com,70981,Neel Premkumar,2012-01-01,Dyla
Vermont,VT,South Burlington,"Burlington-South Burlington, VT",42,10,Construction,blackrock-construction-vt,http://blackrockus.com,70986,"Adam Hergenrother, Tom Hergenrother, Jr. ",2012-01-01,BlackRock Construction
New York,NY,New York City,New York City,43,175,Consumer Products & Services,mmlafleur,mmlafleur.com,70991,Sarah Lafleur,2013-01-01,MM.LaFleur
Missouri,MO,Kansas City,"Kansas City, MO-KS",44,16,Business Products & Services,lever1,http://lever1.com,70996,Greg Gragg,2012-01-01,Lever1
California,CA,Santa Barbara,"Santa Maria-Santa Barbara, CA",45,59,Consumer Products & Services,trackr,http://thetrackr.com,36746,"Chris Herbert, Christian Johan Smith",2009-01-01,TrackR
Virginia,VA,Arlington,"Washington, DC",46,120,IT Services,bytecubed,bytecubed.com,42985,Ahmad Ishaq,2011-01-01,ByteCubed
Illinois,IL,Chicago,Chicago,47,468,Financial Services,avant,avant.com,71001,Al Goldstein,2012-01-01,Avant
New York,NY,College Point,New York City,48,20,Consumer Products & Services,ibenzer,ibenzer.com,71006,Leon Yu,2012-01-01,iBenzer
Michigan,MI,Ada,"Grand Rapids-Wyoming, MI",49,6,Advertising & Marketing,boost-marketing-group,boostgr.com,43053,Steven Eilers,2012-01-01,Boost Marketing Group
Virginia,VA,Leesburg,"Washington, DC",50,12,Government Services,fedbiz-it-solutions,fedbizit.com,42947,Adelina Tiaga,2011-01-01,FedBiz IT Solutions
Oregon,OR,Redmond,"Bend-Redmond, OR",51,160,Manufacturing,basx-solutions,basxsolutions.com,71011,Matt Tobolski,2012-01-01,BASX Solutions
Texas,TX,Houston,Houston,52,37,Energy,discount-power-texas,discountpowertx.com,43005,Neville Ravji,2009-01-01,Discount Power Texas
Arkansas,AR,Fayetteville,"Fayetteville-Springdale-Rogers, AR-MO",53,100,Retail,lauren-james-enterprises,laurenjames.com,71016,Lauren Stokes,2013-01-01,Lauren James Enterprises
Utah,UT,Lehi,"Provo-Orem, UT",54,385,Business Products & Services,boomsourcing,boomsourcing.com,43398,Jacob Munns,2007-01-01,Boomsourcing
Wisconsin,WI,Madison,"Madison, WI",55,37,Software,clearview,clearviewaudit.com,71021,Brad Hollister,2013-01-01,ClearView
California,CA,San Francisco,San Francisco,56,165,Advertising & Marketing,samba-tv,samba.tv,71026,Ashwin Navin,2008-01-01,Samba TV
Georgia,GA,Atlanta,Atlanta,57,38,Business Products & Services,thought-logic-consulting,thought-logic.com,71031,Keith Roberts,2013-01-01,Thought Logic Consulting
New York,NY,New York City,New York City,58,30,Food & Beverage,chefs-cut-real-jerky,chefscutrealjerky.com,42997,Bart Silvestro,2009-01-01,Chef's Cut Real Jerky
California,CA,San Francisco,San Francisco,59,89,Business Products & Services,infoscout,infoscoutinc.com,43009,Jared Schrieber,2011-01-01,InfoScout
Missouri,MO,Independence,"Kansas City, MO-KS",60,34,Health,infusion-express,infusionexpress.com,71036,Don Peterson,2013-01-01,Infusion Express
Arkansas,AR,Fayetteville,"Fayetteville-Springdale-Rogers, AR-MO",61,19,Business Products & Services,givingtons,givingtons.com,71041,Thomas Addington,2012-01-01,Givington's
Massachusetts,MA,Needham,Boston,62,39,Software,allego,allego.com,71046,Yuchun Lee,2013-01-01,Allego
Florida,FL,Orlando,"Orlando, FL",63,15,Travel & Hospitality,the-air-travel-group,theairtravelgroup.com,71051,Eric Peterson,2013-01-01,The Air Travel Group
Virginia,VA,Arlington,"Washington, DC",64,49,Government Services,associated-veterans,associatedveterans.com,71056,Antonio Moscatelli,2007-01-01,Associated Veterans
Pennsylvania,PA,Pittsburgh,"Pittsburgh, PA",65,80,Health,pantherx-specialty-pharmacy,pantherspecialty.com,42946,Dr. Gordon Vanscoy,2011-01-01,PANTHERx Specialty Pharmacy
California,CA,Santa Monica,Los Angeles,66,88,Advertising & Marketing,gimbal,gimbal.com,71061,Rob Emrich,2012-01-01,Gimbal
New Jersey,NJ,Metuchen,New York City,67,396,Energy,momentum-solar,http://momentumsolar.com,43464,Arthur Souritzidis,2009-01-01,Momentum Solar
Colorado,CO,Edwards,"Edwards, CO",68,250,Logistics & Transportation,symbia-logistics,symbia.com,71066,Megan Smith,2007-01-01,Symbia Logistics
Minnesota,MN,Maple Grove,Minneapolis,69,81,Health,inspire-medical-systems,inspiresleep.com,42967,Timothy Herbert,2007-01-01,Inspire Medical Systems
Maryland,MD,Baltimore,Baltimore,70,88,Government Services,rightdirection-technology-solutions,rightdirectiontech.com,71071,Joey Hutchins,2007-01-01,RightDirection Technology Solutions
Pennsylvania,PA,Pittsburgh,"Pittsburgh, PA",71,38,Logistics & Transportation,tfm-truckload,targetfmi.com,43007,Michael Wagner,2011-01-01,TFM Truckload
Texas,TX,Addison,Dallas,72,150,Real Estate,s2-capital,s2cp.com,42951,Scott Everett,2012-01-01,S2 Capital
Georgia,GA,Lawrenceville,Atlanta,73,20,Energy,greentek-energy-systems,greentekenergysystems.com,71076,Nazir Molu,2011-01-01,Greentek Energy Systems
Colorado,CO,Denver,Denver,74,16,Human Resources,oakwood-search,http://oakwoodsearch.com,71081,Jake Norris,2012-01-01,Oakwood Search
New York,NY,Pleasantville,New York City,75,22,Construction,county-fabricators,countyfabricators.com,71086,Kristina Benza,2004-01-01,County Fabricators
California,CA,Glendale,Los Angeles,76,147,Software,servicetitan,servicetitan.com,71091,Ara Mahdessian,2013-01-01,ServiceTitan
California,CA,Irvine,Los Angeles,77,22,IT Services,agema-technology,agematech.com,71096,Jeffery Thompson,2012-01-01,Agema Technology
Texas,TX,Keller,Dallas,78,67,Education,linux-academy,linuxacademy.com,71101,Anthony James,2012-01-01,Linux Academy
Florida,FL,Ponte Vedra,"Jacksonville, FL",79,2,Consumer Products & Services,e-filecom,http://e-file.com,71106,Aaron Rosenthal,2011-01-01,E-file.com
New York,NY,Brooklyn,New York City,80,11,Retail,the-elephant-pants,theelephantpants.com,71111,Nathan Coleman,2012-01-01,The Elephant Pants
Oregon,OR,Portland,"Portland, OR",81,5,Food & Beverage,brazi-bites,http://brazibites.com,71116,Junea Rocha,2010-01-01,Brazi Bites
Texas,TX,Irving,Dallas,82,50,Financial Services,anovia-payments,home.anoviapayments.com,71121,Kevin Jones,2013-01-01,Anovia Payments
California,CA,San Diego,San Diego,83,24,Financial Services,griffin-funding,griffinhomeloans.com,68031,William Lyons,2013-01-01,Griffin Funding
